STATE,ID,YEAR,All_GHGs ,CO2_Emissions_Total ,CH4_Emissions_Total,N2O_Emissions_Total,F-Gas_Emissions_Total,Energy_GHGs_Total,Electricity_Generation,Residential,Commercial,Industrial,Transportation,Fugitive_Emissions,Industrial_Processes,Agriculture,Waste,GHG_per_capita,GHG_intensity
Rhode Island,RI,1990,9.69,8.92,0.41,0.29,0.07,9.20,0.66,2.37,1.12,0.66,4.39,0.00,0.08,0.04,0.37,9.63,
South Carolina,SC,1990,69.32,62.70,2.94,2.75,0.93,63.02,22.03,2.10,1.43,14.26,23.21,0.00,2.08,2.40,1.82,19.80,
South Dakota,SD,1990,23.62,12.11,5.74,5.71,0.07,12.59,3.11,1.36,0.69,2.13,4.92,0.38,0.09,10.64,0.30,33.88,
Tennessee,TN,1990,121.66,107.41,7.83,5.22,1.20,108.41,46.51,3.41,3.44,20.33,34.44,0.28,2.51,6.64,4.10,24.86,
Texas,TX,1990,677.33,597.60,53.81,22.41,3.50,619.49,186.16,13.09,11.83,228.65,158.46,21.30,8.89,37.44,11.51,39.71,
United States,US,1990,5979.00,5142.16,502.16,296.72,37.95,5336.35,1812.81,345.50,227.62,1115.63,1662.15,172.64,97.92,382.39,162.34,23.95,
Utah,UT,1990,60.50,54.27,4.21,1.85,0.17,56.84,29.15,2.78,1.68,9.86,11.17,2.20,0.45,2.67,0.54,34.95,
Vermont,VT,1990,6.84,5.50,0.73,0.49,0.12,5.70,0.04,1.40,0.58,0.47,3.21,0.00,0.12,0.95,0.06,12.11,
Virginia,VA,1990,129.74,97.09,26.88,4.99,0.77,116.78,23.17,6.55,4.45,20.16,43.64,18.81,2.16,5.23,5.57,20.87,
Washington,WA,1990,85.35,72.45,5.39,4.61,2.90,74.22,7.55,3.65,3.22,17.07,42.66,0.08,3.10,5.51,2.52,17.41,
West Virginia,WV,1990,137.88,107.68,28.26,1.44,0.50,133.89,70.42,2.44,1.98,22.09,10.89,26.07,1.39,1.18,1.42,76.92,
Wisconsin,WI,1990,108.14,86.73,12.57,8.31,0.52,88.26,33.39,9.53,4.84,14.68,25.82,0.00,0.91,13.81,5.16,22.05,
Wyoming,WY,1990,73.90,61.39,10.44,1.94,0.12,69.72,40.25,0.83,0.86,10.41,5.98,11.38,0.59,3.42,0.17,162.90,
Alabama,AL,1991,142.81,117.10,20.15,4.95,0.61,130.30,54.50,3.11,2.01,26.50,30.24,13.94,3.49,5.56,3.46,34.84,
Alaska,AK,1991,46.38,36.63,9.43,0.28,0.04,44.76,2.47,1.62,2.24,17.47,11.39,9.57,1.23,0.04,0.35,81.34,
Arizona,AZ,1991,71.77,64.63,3.53,2.81,0.80,65.38,32.92,1.95,1.84,3.95,24.63,0.10,1.69,3.31,1.39,18.94,
Arkansas,AR,1991,66.25,51.31,7.70,6.96,0.29,52.14,21.84,2.58,1.63,8.32,17.08,0.68,1.13,11.36,1.63,27.80,
California,CA,1991,409.70,357.26,30.97,18.74,2.73,368.03,38.07,29.79,19.20,74.11,202.31,4.57,7.50,20.74,13.42,13.45,
Colorado,CO,1991,83.54,67.90,10.42,4.85,0.37,74.35,30.75,5.86,4.30,7.34,20.35,5.75,0.81,7.86,0.52,24.66,
Connecticut,CT,1991,43.57,40.78,1.33,1.17,0.28,41.11,10.57,7.98,3.65,3.37,15.54,0.00,0.32,0.28,1.87,13.19,
Delaware,DE,1991,19.21,17.86,0.40,0.87,0.09,18.10,7.78,1.10,0.58,3.31,5.33,0.00,0.09,0.66,0.35,28.13,
District Of Columbia,DC,1991,4.70,4.40,0.07,0.14,0.10,4.53,0.23,0.94,1.37,0.03,1.96,0.00,0.11,0.00,0.06,7.82,
Florida,FL,1991,211.69,190.54,11.85,7.80,1.50,192.92,91.64,1.73,5.97,12.19,81.29,0.11,2.91,6.74,9.12,15.83,
Georgia,GA,1991,145.37,132.79,5.98,5.78,0.82,135.14,55.37,6.23,3.63,19.83,50.08,0.00,1.80,5.27,3.16,21.85,
Hawaii,HI,1991,21.52,19.75,1.05,0.64,0.09,19.79,6.05,0.04,0.44,2.03,11.24,0.00,0.20,0.64,0.89,18.93,
Idaho,ID,1991,19.92,12.59,3.66,3.42,0.26,12.51,0.00,0.92,0.95,4.06,6.58,0.00,0.78,6.18,0.45,19.13,
Illinois,IL,1991,238.33,198.32,19.51,19.32,1.18,204.52,57.98,27.06,12.02,47.53,55.17,4.75,3.51,19.93,10.37,20.60,
Indiana,IN,1991,225.21,204.58,7.77,11.55,1.31,206.24,95.36,9.96,5.31,52.65,41.82,1.14,3.34,11.89,3.74,40.10,
Iowa,IA,1991,99.74,67.77,12.19,19.47,0.31,67.13,27.64,5.56,3.52,13.84,16.57,0.01,2.06,28.62,1.92,35.65,
Kansas,KS,1991,95.65,71.12,13.35,10.90,0.28,73.91,27.37,4.38,3.40,15.70,18.88,4.18,2.73,17.65,1.36,38.28,
Kentucky,KY,1991,141.75,121.92,12.93,5.71,1.18,128.56,67.59,4.44,2.79,20.46,27.66,5.62,2.02,7.88,3.29,38.08,
Louisiana,LA,1991,215.10,197.04,13.06,4.35,0.65,199.18,34.81,3.24,1.94,99.00,52.84,7.35,6.90,6.05,2.96,50.57,
Maine,ME,1991,20.91,19.29,0.66,0.77,0.18,19.14,1.72,3.03,2.22,4.16,8.01,0.00,0.86,0.41,0.50,16.90,
Maryland,MD,1991,79.22,70.97,4.46,3.01,0.78,71.76,25.84,6.33,3.55,10.29,25.50,0.25,1.66,2.00,3.80,16.28,
Massachusetts,MA,1991,89.42,83.55,3.27,2.07,0.53,84.22,25.83,14.47,9.22,5.35,29.36,0.00,0.59,0.32,4.29,14.86,
Michigan,MI,1991,204.26,183.56,11.76,8.08,0.86,184.44,67.79,22.71,10.86,30.74,51.56,0.77,3.44,7.07,9.31,21.73,
Minnesota,MN,1991,101.87,80.21,7.53,13.62,0.51,81.48,28.59,8.93,5.47,12.16,26.32,0.00,0.58,17.31,2.50,22.94,
Mississippi,MS,1991,59.04,49.38,4.71,4.62,0.33,50.49,12.07,1.86,1.33,11.49,22.97,0.76,1.08,6.05,1.41,22.72,
Missouri,MO,1991,129.19,106.15,10.93,11.16,0.95,105.55,47.78,8.02,4.65,9.52,35.50,0.08,3.89,16.00,3.75,24.98,
Montana,MT,1991,39.75,29.98,5.73,3.65,0.40,31.61,17.38,1.31,0.90,4.34,6.09,1.59,0.78,7.03,0.34,49.10,
Nebraska,NE,1991,57.38,34.55,9.77,12.87,0.19,34.56,14.32,2.76,2.28,4.34,10.78,0.08,0.92,21.28,0.62,35.96,
Nevada,NV,1991,35.90,33.38,1.35,1.00,0.17,33.09,18.12,1.31,1.16,2.25,10.22,0.04,1.02,1.37,0.42,27.70,
New Hampshire,NH,1991,15.49,14.36,0.56,0.46,0.10,14.70,4.40,2.47,1.33,0.83,5.67,0.00,0.11,0.16,0.52,13.95,
New Jersey,NJ,1991,124.97,116.24,5.19,2.87,0.67,118.32,12.03,15.65,11.09,19.34,60.20,0.00,0.75,0.54,5.36,15.99,
New Mexico,NM,1991,59.17,48.74,8.10,2.13,0.21,53.91,23.43,1.97,1.67,6.64,15.22,4.99,0.72,3.90,0.64,38.04,
New York,NY,1991,227.44,203.10,16.26,6.34,1.75,206.31,58.69,33.36,26.59,20.83,66.35,0.49,2.60,5.13,13.40,12.55,
North Carolina,NC,1991,126.90,111.21,7.65,6.93,1.12,113.90,47.04,5.43,3.58,17.67,40.18,0.00,1.19,7.34,4.47,18.71,
North Dakota,ND,1991,51.69,42.22,3.73,5.61,0.14,43.31,29.22,1.23,0.88,6.17,4.91,0.89,0.24,7.87,0.28,81.31,
Ohio,OH,1991,276.53,246.53,17.22,10.92,1.86,254.37,110.93,21.38,10.60,47.68,58.72,5.06,3.07,9.78,9.31,25.26,
Oklahoma,OK,1991,117.91,93.22,16.72,7.51,0.46,98.77,38.38,4.07,2.53,21.12,25.76,6.92,3.24,13.21,2.68,37.13,
Oregon,OR,1991,43.40,35.19,3.85,3.31,1.04,35.91,3.63,2.23,1.90,5.63,22.51,0.00,1.40,4.72,1.38,14.82,
