STATE,ID,YEAR,All_GHGs ,CO2_Emissions_Total ,CH4_Emissions_Total,N2O_Emissions_Total,F-Gas_Emissions_Total,Energy_GHGs_Total,Electricity_Generation,Residential,Commercial,Industrial,Transportation,Fugitive_Emissions,Industrial_Processes,Agriculture,Waste,GHG_per_capita,GHG_intensity
Hawaii,HI,1993,20.87,19.14,1.00,0.63,0.10,18.97,7.03,0.04,0.33,1.85,9.72,0.00,0.31,0.56,1.03,17.79,
Idaho,ID,1993,21.04,13.12,3.64,3.98,0.30,13.01,0.00,1.02,0.85,3.52,7.63,0.00,0.91,6.71,0.40,18.97,
Illinois,IL,1993,251.80,210.50,19.15,20.82,1.34,215.85,63.96,28.33,12.59,47.53,59.52,3.92,3.87,21.08,11.01,21.32,
Indiana,IN,1993,227.29,205.44,7.76,12.72,1.37,207.09,97.19,10.91,5.77,48.52,43.59,1.10,3.55,12.71,3.94,39.61,
Iowa,IA,1993,99.06,69.93,11.68,17.09,0.36,69.75,28.52,5.83,3.31,14.93,17.15,0.01,1.76,25.82,1.72,34.92,
Kansas,KS,1993,101.37,75.09,14.07,11.89,0.32,78.11,30.07,4.78,3.33,16.44,19.04,4.44,2.88,18.88,1.50,39.65,
Kentucky,KY,1993,157.73,136.46,13.92,6.14,1.21,143.88,76.84,4.96,3.05,22.23,30.44,6.35,2.23,8.22,3.40,41.38,
Louisiana,LA,1993,225.28,206.64,13.41,4.52,0.71,208.97,37.98,3.31,1.79,105.47,52.97,7.45,6.82,6.18,3.32,52.19,
Maine,ME,1993,21.57,19.85,0.69,0.81,0.22,19.58,1.36,3.17,1.78,5.22,8.06,0.00,1.02,0.42,0.54,17.36,
Maryland,MD,1993,79.38,71.23,4.17,3.14,0.84,72.18,27.36,7.17,3.92,7.47,26.15,0.11,1.42,1.99,3.79,15.97,
Massachusetts,MA,1993,88.97,83.07,3.11,2.15,0.63,83.64,21.93,16.70,8.03,7.32,29.65,0.00,0.78,0.33,4.22,14.68,
Michigan,MI,1993,204.89,183.85,11.35,8.68,1.01,185.06,65.53,24.43,11.23,27.41,55.48,0.97,3.54,7.43,8.87,21.48,
Minnesota,MN,1993,106.88,86.51,7.55,12.25,0.57,87.78,29.95,9.16,5.33,13.97,29.36,0.00,0.73,15.74,2.63,23.46,
Mississippi,MS,1993,61.78,51.84,4.84,4.72,0.38,52.93,13.47,2.05,1.33,11.32,24.10,0.66,1.16,6.25,1.45,23.27,
Missouri,MO,1993,128.24,105.12,10.86,11.23,1.03,104.46,42.25,8.78,5.03,10.25,38.12,0.02,4.16,16.17,3.45,24.33,
Montana,MT,1993,39.49,29.12,6.06,3.94,0.37,30.61,15.12,1.34,0.88,4.85,6.81,1.62,0.90,7.61,0.36,46.74,
Nebraska,NE,1993,60.80,37.30,9.81,13.48,0.21,37.04,15.56,2.89,1.99,5.29,11.23,0.08,1.25,21.84,0.67,37.40,
Nevada,NV,1993,37.28,34.59,1.42,1.06,0.20,34.67,18.38,1.39,1.41,2.58,10.89,0.02,0.73,1.38,0.49,26.41,
New Hampshire,NH,1993,16.23,15.00,0.60,0.51,0.12,15.36,4.45,2.56,1.18,1.38,5.78,0.00,0.13,0.17,0.57,14.37,
New Jersey,NJ,1993,128.80,120.32,4.64,3.05,0.79,122.28,13.39,16.61,10.86,23.74,57.67,0.00,0.87,0.58,5.07,16.20,
New Mexico,NM,1993,64.36,52.54,9.27,2.30,0.25,58.45,26.74,1.97,1.74,6.64,15.57,5.80,0.94,4.27,0.69,39.33,
New York,NY,1993,223.22,198.16,16.25,6.82,1.98,200.87,47.58,36.30,28.35,21.71,66.43,0.49,2.96,5.25,14.14,12.15,
North Carolina,NC,1993,144.74,127.23,8.86,7.41,1.24,130.39,58.68,6.38,3.97,18.57,42.79,0.00,1.31,8.29,4.74,20.55,
North Dakota,ND,1993,54.33,43.92,3.82,6.42,0.17,44.97,30.57,1.15,0.87,6.13,5.42,0.83,0.28,8.79,0.29,84.72,
Ohio,OH,1993,288.55,256.95,17.10,12.54,1.96,263.49,115.95,23.25,11.19,46.58,61.49,5.02,4.60,11.00,9.46,25.99,
Oklahoma,OK,1993,124.55,99.65,16.89,7.48,0.52,105.37,40.72,4.59,2.43,23.58,27.04,7.02,3.37,13.06,2.75,38.30,
Oregon,OR,1993,44.59,36.08,3.87,3.53,1.12,36.88,4.33,2.48,1.84,6.24,21.97,0.00,1.56,4.76,1.39,14.57,
Pennsylvania,PA,1993,304.58,273.10,22.82,7.10,1.55,287.15,106.48,26.47,13.41,61.02,65.72,14.05,5.49,6.55,5.39,25.13,
Rhode Island,RI,1993,11.69,10.88,0.40,0.33,0.09,11.18,2.00,2.69,1.14,0.99,4.37,0.00,0.10,0.05,0.35,11.52,
South Carolina,SC,1993,75.01,67.89,3.24,2.89,0.98,68.55,25.09,2.48,1.76,15.48,23.74,0.00,1.91,2.34,2.20,20.48,
South Dakota,SD,1993,26.15,13.42,6.46,6.19,0.08,13.38,3.07,1.24,0.75,2.33,5.41,0.58,0.74,11.68,0.35,36.21,
Tennessee,TN,1993,134.20,119.57,7.71,5.71,1.22,120.71,54.64,4.09,3.66,21.77,36.42,0.14,2.53,6.78,4.17,26.12,
Texas,TX,1993,703.78,618.06,56.84,25.13,3.75,640.58,200.05,13.53,10.78,234.95,159.08,22.20,9.86,40.81,12.53,38.75,
United States,US,1993,6175.42,5312.69,502.48,319.04,41.21,5496.21,1904.75,378.04,227.31,1118.77,1700.29,167.05,109.26,401.02,168.92,23.76,
Utah,UT,1993,63.31,56.64,4.41,2.07,0.20,59.09,30.58,3.14,1.71,9.02,12.37,2.27,0.73,2.87,0.62,33.35,
Vermont,VT,1993,7.64,6.22,0.79,0.49,0.14,6.46,0.03,1.56,0.68,0.56,3.63,0.00,0.15,0.92,0.11,13.22,
Virginia,VA,1993,131.18,104.38,20.52,5.38,0.89,117.71,31.33,7.25,5.06,17.89,43.71,12.47,2.42,5.30,5.75,20.15,
Washington,WA,1993,90.20,76.89,5.42,5.17,2.72,78.63,10.32,4.30,3.16,16.66,44.12,0.07,3.11,6.00,2.46,17.09,
West Virginia,WV,1993,125.80,102.06,21.73,1.51,0.50,121.31,67.37,2.57,1.84,17.98,12.12,19.42,1.74,1.26,1.50,69.22,
Wisconsin,WI,1993,112.45,92.10,11.88,7.88,0.60,93.79,34.80,10.62,5.17,15.87,27.34,0.00,1.14,12.71,4.80,22.11,
Wyoming,WY,1993,82.84,65.97,14.36,2.39,0.12,77.57,41.07,0.89,0.97,10.36,6.22,18.05,0.97,4.11,0.19,175.11,
Alabama,AL,1994,152.78,126.92,19.87,5.21,0.77,138.81,59.16,3.37,2.06,28.41,32.49,13.32,4.63,5.60,3.75,35.86,
Alaska,AK,1994,47.12,37.97,8.77,0.32,0.07,45.30,2.34,1.80,2.60,18.10,11.41,9.05,1.42,0.07,0.33,78.10,
Arizona,AZ,1994,80.38,72.48,3.81,2.97,1.12,73.52,38.20,1.85,1.84,4.37,27.16,0.09,1.92,3.41,1.53,18.93,
Arkansas,AR,1994,72.60,56.33,8.42,7.46,0.39,57.19,22.14,2.65,1.75,10.75,19.06,0.84,1.54,12.14,1.73,29.11,
California,CA,1994,423.63,368.92,31.97,18.61,4.13,378.93,49.51,29.78,15.99,72.13,207.26,4.27,9.45,21.41,13.84,13.46,
Colorado,CO,1994,90.75,73.47,11.50,5.24,0.54,80.21,33.64,5.77,4.09,7.66,23.01,6.05,1.28,8.54,0.72,24.37,
Connecticut,CT,1994,41.63,38.64,1.31,1.27,0.40,38.99,7.23,8.64,4.17,3.29,15.67,0.00,0.45,0.32,1.87,12.55,
Delaware,DE,1994,20.05,18.64,0.46,0.84,0.11,18.91,7.15,1.24,0.62,5.09,4.82,0.00,0.12,0.61,0.41,27.95,
District Of Columbia,DC,1994,4.85,4.52,0.07,0.15,0.11,4.67,0.31,0.95,1.43,0.04,1.95,0.00,0.12,0.00,0.05,8.22,
Florida,FL,1994,227.09,205.38,11.58,8.08,2.05,206.52,95.49,1.61,4.33,15.89,89.10,0.10,4.08,6.66,9.83,15.95,
Georgia,GA,1994,160.27,145.98,6.56,6.63,1.10,148.30,60.08,6.84,3.93,20.50,56.96,0.00,2.62,5.75,3.59,22.39,
Hawaii,HI,1994,22.00,20.37,0.90,0.60,0.13,20.26,7.26,0.04,0.52,2.04,10.41,0.00,0.36,0.51,0.86,18.53,
Idaho,ID,1994,20.97,13.27,3.86,3.51,0.33,13.15,0.00,0.96,0.83,3.61,7.75,0.00,0.96,6.44,0.42,18.32,
Illinois,IL,1994,252.60,211.03,20.15,19.82,1.60,216.91,66.44,27.11,12.32,48.74,57.54,4.75,4.53,19.97,11.20,21.20,
Indiana,IN,1994,226.98,206.08,7.71,11.74,1.44,207.46,100.54,10.35,5.60,44.68,45.14,1.16,4.06,11.70,3.77,39.18,
Iowa,IA,1994,103.21,71.31,12.02,19.46,0.41,70.84,28.51,5.58,2.93,15.73,18.09,0.00,2.13,28.48,1.75,36.20,
Kansas,KS,1994,101.93,75.65,14.56,11.35,0.37,78.34,30.11,4.25,3.10,18.38,18.07,4.43,3.28,18.74,1.58,39.50,
Kentucky,KY,1994,155.65,135.02,13.59,5.79,1.26,142.10,75.29,4.72,3.17,22.20,30.16,6.57,2.82,7.87,2.85,40.44,
Louisiana,LA,1994,230.43,212.51,12.79,4.33,0.80,214.02,39.30,3.12,1.74,107.51,55.58,6.78,7.35,6.20,2.85,53.00,
Maine,ME,1994,22.91,21.17,0.69,0.80,0.25,20.94,1.25,3.25,1.81,6.46,8.17,0.00,1.00,0.40,0.57,18.43,
Maryland,MD,1994,80.54,72.46,4.03,3.14,0.92,73.33,28.15,7.12,4.30,7.58,26.08,0.11,1.60,1.91,3.70,16.03,
Massachusetts,MA,1994,89.13,83.27,2.93,2.15,0.78,83.83,22.27,16.53,8.91,6.37,29.76,0.00,0.96,0.30,4.05,14.62,
Michigan,MI,1994,211.55,191.22,10.96,8.14,1.23,192.44,71.03,23.91,11.54,29.61,55.36,1.00,4.19,6.93,7.99,22.04,
Minnesota,MN,1994,109.57,88.32,7.15,13.43,0.67,89.34,30.24,9.06,5.48,14.28,30.28,0.00,1.23,16.79,2.21,23.77,
Mississippi,MS,1994,61.27,51.24,4.93,4.65,0.44,52.63,13.87,1.98,1.42,10.59,24.17,0.60,0.92,6.23,1.48,22.78,
Missouri,MO,1994,137.33,113.37,11.40,11.44,1.11,112.23,49.66,8.08,4.78,10.52,39.16,0.03,4.86,16.74,3.50,25.79,
Montana,MT,1994,42.13,32.09,6.03,3.65,0.36,33.68,17.88,1.22,0.82,5.00,7.08,1.69,0.90,7.40,0.14,48.91,
Nebraska,NE,1994,61.52,37.31,10.41,13.55,0.25,36.96,14.96,2.69,2.24,5.50,11.50,0.07,1.42,22.46,0.69,37.53,
Nevada,NV,1994,39.65,36.85,1.47,1.09,0.24,36.94,19.85,1.40,1.44,2.70,11.53,0.02,0.81,1.36,0.54,26.44,
New Hampshire,NH,1994,16.33,15.07,0.62,0.50,0.14,15.42,4.39,2.63,1.34,1.17,5.90,0.00,0.16,0.16,0.59,14.30,
New Jersey,NJ,1994,138.83,130.35,4.50,3.04,0.96,132.33,15.43,18.44,11.10,24.61,62.74,0.00,1.04,0.51,4.96,17.32,
New Mexico,NM,1994,65.26,52.53,10.15,2.28,0.31,59.06,27.73,1.84,1.47,6.69,14.89,6.44,1.07,4.41,0.72,38.79,
New York,NY,1994,221.83,196.44,16.29,6.76,2.35,198.86,47.44,35.87,27.82,22.00,65.22,0.51,3.50,5.09,14.39,12.02,
North Carolina,NC,1994,140.75,122.37,9.67,7.38,1.34,125.60,53.42,6.02,4.33,17.81,44.01,0.00,1.42,8.88,4.85,19.58,
North Dakota,ND,1994,54.59,44.31,4.02,6.07,0.19,45.34,30.62,1.09,0.90,6.56,5.37,0.81,0.29,8.66,0.29,84.66,
Ohio,OH,1994,285.39,253.51,17.26,12.45,2.17,260.17,112.30,22.47,11.19,46.97,62.01,5.24,5.06,10.78,9.38,25.59,
Oklahoma,OK,1994,122.81,98.08,17.06,7.07,0.59,103.59,39.57,4.09,2.17,22.84,27.88,7.04,3.74,12.72,2.76,37.43,
Oregon,OR,1994,46.36,37.77,4.02,3.40,1.18,38.52,5.48,2.41,1.75,6.19,22.69,0.00,1.65,4.79,1.40,14.85,
Pennsylvania,PA,1994,301.62,271.00,21.84,6.95,1.83,283.73,102.66,26.11,14.48,61.10,65.96,13.41,6.26,6.24,5.38,24.79,
Rhode Island,RI,1994,13.65,12.85,0.38,0.31,0.11,13.15,2.12,2.74,1.39,2.63,4.27,0.00,0.13,0.03,0.33,13.43,
South Carolina,SC,1994,75.34,68.06,3.32,2.96,1.02,68.75,25.59,2.24,1.67,15.13,24.13,0.00,1.96,2.33,2.30,20.33,
South Dakota,SD,1994,27.31,14.14,6.56,6.51,0.10,14.06,3.35,1.16,0.74,2.48,5.73,0.59,0.83,12.07,0.35,37.37,
Tennessee,TN,1994,129.47,114.81,7.76,5.61,1.29,115.48,48.47,4.04,3.55,22.00,37.30,0.14,3.14,6.82,4.03,24.75,
Texas,TX,1994,708.76,621.20,59.12,24.30,4.14,644.05,193.71,12.67,11.25,240.34,162.85,23.22,10.92,41.10,12.70,38.18,
United States,US,1994,6268.70,5397.07,509.83,315.35,46.44,5575.79,1929.94,369.17,229.70,1138.90,1739.06,169.03,123.43,401.96,167.52,23.82,
Utah,UT,1994,64.26,57.77,4.23,2.02,0.25,59.96,31.47,2.91,1.91,9.01,12.59,2.07,0.83,2.82,0.66,32.78,
Vermont,VT,1994,7.34,6.05,0.63,0.49,0.16,6.29,0.02,1.49,0.68,0.44,3.66,0.00,0.18,0.89,-0.02,12.57,
Virginia,VA,1994,128.82,103.40,19.07,5.34,1.01,115.16,29.23,7.18,5.12,18.19,44.37,11.08,2.76,5.14,5.76,19.54,
Washington,WA,1994,94.90,81.93,5.52,4.87,2.57,83.67,11.99,4.34,3.14,19.02,45.11,0.07,3.04,5.79,2.40,17.65,
West Virginia,WV,1994,133.36,110.08,21.23,1.55,0.50,128.57,73.54,2.57,1.84,18.99,12.73,18.90,2.03,1.24,1.52,73.26,
Wisconsin,WI,1994,115.42,95.36,11.60,7.74,0.72,96.94,36.47,10.17,5.13,16.36,28.81,0.00,1.41,12.28,4.80,22.48,
Wyoming,WY,1994,85.76,68.20,15.10,2.34,0.12,80.31,43.11,0.83,1.01,10.67,6.11,18.58,0.99,4.27,0.19,178.57,
Alabama,AL,1995,162.47,134.56,21.74,5.18,1.00,148.24,64.78,3.38,1.97,29.06,34.02,15.04,4.84,5.56,3.83,37.81,
Alaska,AK,1995,50.92,42.25,8.24,0.33,0.10,49.09,2.41,1.84,2.51,21.47,12.56,8.29,1.40,0.09,0.34,84.25,
Arizona,AZ,1995,75.95,67.63,3.86,2.96,1.49,68.43,32.46,1.74,1.80,4.70,27.64,0.08,2.51,3.38,1.62,17.13,
Arkansas,AR,1995,75.93,59.64,8.48,7.28,0.54,60.68,24.08,2.73,1.80,11.67,19.47,0.93,1.70,11.84,1.71,29.95,
California,CA,1995,414.98,358.32,31.56,19.01,6.09,367.65,37.17,27.16,17.08,70.85,211.21,4.18,11.83,22.16,13.35,13.09,
Colorado,CO,1995,90.11,73.36,10.86,5.12,0.77,79.55,32.66,6.19,4.05,7.60,23.73,5.32,1.40,8.40,0.75,23.55,
Connecticut,CT,1995,41.10,37.93,1.29,1.29,0.58,38.28,8.04,7.94,3.83,3.04,15.43,0.00,0.64,0.31,1.86,12.36,
Delaware,DE,1995,19.34,17.98,0.39,0.81,0.15,18.23,6.67,1.18,0.57,5.21,4.60,0.00,0.16,0.57,0.38,26.50,
District Of Columbia,DC,1995,4.78,4.44,0.06,0.14,0.14,4.59,0.22,0.98,1.44,0.03,1.92,0.00,0.14,0.00,0.05,8.24,
Florida,FL,1995,233.63,210.81,11.62,8.33,2.87,212.02,97.57,1.53,4.32,17.08,91.44,0.08,4.99,6.76,9.86,16.07,
Georgia,GA,1995,169.95,154.30,6.63,7.49,1.52,156.68,64.24,7.31,4.15,21.38,59.60,0.00,3.10,6.49,3.67,23.19,
Hawaii,HI,1995,21.97,20.23,0.94,0.60,0.20,20.13,7.53,0.04,0.32,1.99,10.25,0.00,0.43,0.53,0.88,18.36,
Idaho,ID,1995,22.30,13.95,4.09,3.84,0.42,13.95,0.00,1.01,0.85,3.82,8.27,0.00,0.95,6.97,0.43,18.94,
Illinois,IL,1995,255.18,215.01,18.97,18.94,2.27,221.17,67.21,28.57,12.53,48.59,59.10,5.16,5.44,18.85,9.72,21.25,
Indiana,IN,1995,231.59,211.22,7.41,11.17,1.79,212.36,102.29,10.40,5.69,46.65,46.35,0.97,4.55,11.06,3.62,39.58,
Iowa,IA,1995,106.23,74.74,11.96,18.96,0.57,74.23,30.47,5.76,3.17,16.08,18.76,0.00,2.32,28.04,1.64,37.05,
Kansas,KS,1995,100.50,73.33,15.50,11.16,0.52,76.57,29.06,4.45,3.23,14.88,20.00,4.95,3.39,18.85,1.69,38.64,
Kentucky,KY,1995,160.68,139.93,13.39,5.90,1.46,146.87,77.67,4.97,3.15,23.50,31.29,6.28,2.94,8.00,2.89,41.33,
Louisiana,LA,1995,230.65,212.50,12.80,4.32,1.03,214.65,40.15,3.07,1.50,107.32,55.61,7.00,7.22,6.03,2.75,52.67,
Maine,ME,1995,21.70,19.90,0.66,0.81,0.34,19.63,1.26,3.99,1.53,5.09,7.76,0.00,1.12,0.39,0.55,17.45,
Maryland,MD,1995,80.08,71.92,3.86,3.10,1.20,72.87,27.23,7.00,4.81,7.27,26.45,0.11,1.90,1.85,3.46,15.80,
Massachusetts,MA,1995,86.82,80.63,2.87,2.18,1.14,81.15,21.37,14.93,9.00,5.59,30.26,0.00,1.32,0.29,4.06,14.14,
Michigan,MI,1995,213.92,193.50,10.35,8.29,1.78,194.41,70.38,24.89,12.21,29.23,56.77,0.93,4.97,7.09,7.45,22.11,
Minnesota,MN,1995,112.10,90.84,6.62,13.70,0.94,92.03,30.68,9.45,5.93,14.62,31.33,0.00,1.19,17.23,1.65,24.05,
Mississippi,MS,1995,62.84,52.94,4.87,4.45,0.58,54.01,15.27,1.91,1.37,10.42,24.42,0.62,1.41,5.90,1.52,23.08,
Missouri,MO,1995,144.37,120.85,11.28,10.81,1.44,119.79,55.60,8.27,4.75,10.54,40.61,0.02,5.18,15.92,3.48,26.84,
Montana,MT,1995,42.21,31.57,6.20,4.03,0.41,33.29,16.75,1.29,0.83,5.41,7.37,1.65,0.81,7.95,0.15,48.16,
Nebraska,NE,1995,63.35,39.93,10.40,12.69,0.34,39.61,16.94,2.70,2.20,5.53,12.17,0.07,1.48,21.55,0.71,38.23,
Nevada,NV,1995,39.17,36.18,1.53,1.14,0.32,36.10,18.27,1.33,1.44,3.07,11.97,0.02,1.09,1.40,0.59,24.77,
New Hampshire,NH,1995,16.40,15.17,0.52,0.51,0.21,15.52,4.32,2.75,1.22,1.08,6.14,0.00,0.24,0.16,0.49,14.17,
New Jersey,NJ,1995,138.66,129.88,4.37,3.01,1.40,131.75,16.98,16.41,10.12,24.56,63.67,0.00,1.50,0.45,4.97,17.15,
New Mexico,NM,1995,63.95,50.84,10.41,2.28,0.42,57.71,27.39,1.77,1.47,7.00,13.52,6.56,0.96,4.52,0.75,37.17,
New York,NY,1995,227.68,201.84,15.86,6.60,3.37,204.41,51.27,34.83,27.06,23.72,67.01,0.53,4.62,4.87,13.78,12.29,
North Carolina,NC,1995,148.18,128.58,10.37,7.48,1.75,131.90,56.44,6.65,4.14,18.92,45.74,0.00,1.84,9.45,4.98,20.17,
North Dakota,ND,1995,55.11,44.25,4.20,6.41,0.24,45.38,29.82,1.14,0.91,7.13,5.37,1.00,0.36,9.07,0.30,85.06,
Ohio,OH,1995,287.43,256.02,16.22,12.42,2.77,262.29,113.50,23.13,11.64,45.84,63.16,5.03,5.86,10.72,8.56,25.66,
Oklahoma,OK,1995,124.99,99.19,17.78,7.23,0.79,104.76,41.51,4.03,2.35,23.04,26.68,7.16,4.03,13.55,2.65,37.78,
Oregon,OR,1995,44.26,35.06,4.21,3.54,1.44,35.80,2.74,2.28,1.82,6.62,22.33,0.00,1.93,5.06,1.46,13.90,
Pennsylvania,PA,1995,305.47,273.87,22.14,6.92,2.54,287.03,105.74,25.24,14.31,60.92,66.72,14.10,7.41,6.11,4.91,25.04,
Rhode Island,RI,1995,12.97,12.12,0.38,0.30,0.17,12.40,1.98,2.53,1.27,2.24,4.38,0.00,0.19,0.03,0.35,12.75,
South Carolina,SC,1995,74.61,66.92,3.46,2.99,1.25,67.73,24.68,2.31,1.73,14.84,24.16,0.00,2.14,2.32,2.43,19.90,
South Dakota,SD,1995,27.29,13.93,6.91,6.31,0.14,13.94,3.09,1.22,0.78,2.28,5.85,0.72,0.84,12.15,0.36,36.99,
Tennessee,TN,1995,135.96,121.20,7.44,5.74,1.58,122.06,53.37,4.16,3.61,21.54,39.23,0.15,3.34,6.95,3.61,25.52,
Texas,TX,1995,712.74,623.03,60.32,24.08,5.30,647.06,193.66,12.22,13.06,242.69,160.64,24.80,12.32,40.86,12.50,37.59,
United States,US,1995,6344.16,5456.87,510.56,314.74,61.98,5639.58,1945.26,366.12,232.81,1145.30,1774.08,176.01,140.59,402.52,161.47,23.83,
Utah,UT,1995,68.04,59.78,5.82,2.08,0.36,63.24,29.57,2.88,1.87,10.18,13.64,5.10,1.14,2.94,0.72,33.78,
Vermont,VT,1995,7.40,6.05,0.65,0.47,0.22,6.25,0.03,1.44,0.59,0.40,3.79,0.00,0.26,0.88,0.01,12.56,
Virginia,VA,1995,129.94,105.84,17.35,5.37,1.38,115.88,30.48,7.25,5.36,18.24,45.14,9.42,3.20,5.14,5.72,19.48,
Washington,WA,1995,93.40,79.92,5.48,5.11,2.89,81.57,8.39,4.23,3.22,18.41,47.26,0.07,3.48,5.87,2.47,17.04,
West Virginia,WV,1995,130.81,107.95,20.72,1.53,0.61,126.09,73.12,2.47,1.79,17.49,12.86,18.36,1.92,1.24,1.55,71.73,
Wisconsin,WI,1995,117.97,98.24,10.83,7.90,1.01,99.87,38.30,10.31,5.49,16.39,29.37,0.00,1.69,12.41,4.00,22.75,
Wyoming,WY,1995,86.09,66.82,16.72,2.41,0.14,80.70,40.48,0.86,0.95,10.06,7.04,21.31,0.89,4.29,0.20,177.44,
Alabama,AL,1996,166.78,140.07,20.12,5.46,1.14,152.08,69.97,3.79,2.17,29.36,33.41,13.37,5.04,5.75,3.92,38.51,
Alaska,AK,1996,51.39,43.13,7.83,0.32,0.12,49.67,2.54,1.82,2.72,22.56,12.24,7.79,1.30,0.07,0.35,84.45,
Arizona,AZ,1996,79.11,70.29,3.90,3.17,1.75,70.64,32.45,1.71,1.89,5.18,29.34,0.07,3.27,3.56,1.63,17.25,
Arkansas,AR,1996,79.96,63.22,7.95,8.16,0.62,64.31,26.33,2.88,1.91,12.39,19.86,0.94,1.80,12.28,1.57,31.09,
California,CA,1996,418.61,359.41,32.12,19.67,7.41,367.96,32.85,27.39,14.82,73.56,215.06,4.28,13.77,23.13,13.75,13.07,
Colorado,CO,1996,93.60,76.37,10.92,5.37,0.93,82.42,34.37,6.54,4.25,7.89,24.26,5.11,1.55,8.82,0.80,23.88,
Connecticut,CT,1996,44.31,41.15,1.19,1.26,0.70,41.47,9.09,8.42,4.12,3.62,16.22,0.00,0.76,0.27,1.80,13.28,
Delaware,DE,1996,20.10,18.66,0.36,0.90,0.18,18.90,6.60,1.28,0.72,5.23,5.07,0.00,0.18,0.66,0.36,27.13,
District Of Columbia,DC,1996,4.74,4.39,0.06,0.14,0.15,4.53,0.14,1.08,1.44,0.03,1.86,0.00,0.16,0.00,0.05,8.28,
Florida,FL,1996,241.72,218.03,11.66,8.65,3.39,218.97,102.34,1.70,4.14,18.39,92.32,0.09,5.66,6.89,10.20,16.27,
Georgia,GA,1996,174.54,157.94,6.87,7.94,1.79,160.83,64.00,7.97,4.16,21.66,63.04,0.00,3.03,6.80,3.88,23.27,
Hawaii,HI,1996,20.99,19.20,0.93,0.61,0.24,19.25,7.80,0.04,0.24,2.09,9.08,0.00,0.29,0.52,0.92,17.44,
Idaho,ID,1996,23.27,14.42,4.29,4.08,0.48,14.42,0.01,1.10,0.98,3.91,8.42,0.00,1.03,7.37,0.45,19.34,
Illinois,IL,1996,269.49,227.85,18.13,20.85,2.67,233.82,74.90,30.88,13.35,48.57,61.20,4.92,5.88,20.32,9.47,22.27,
Indiana,IN,1996,237.11,216.04,7.49,11.57,2.01,217.40,103.88,11.73,6.04,49.10,45.61,1.04,4.70,11.19,3.81,40.15,
Iowa,IA,1996,109.92,77.55,11.21,20.48,0.67,77.06,30.43,6.43,3.76,16.41,20.04,0.00,2.45,28.74,1.66,38.17,
Kansas,KS,1996,107.99,78.72,15.75,12.91,0.61,81.85,33.36,5.06,3.53,15.18,19.86,4.85,3.53,20.82,1.79,41.30,
Kentucky,KY,1996,163.72,142.87,12.88,6.36,1.60,149.33,80.01,5.19,3.22,25.60,29.54,5.78,3.09,8.38,2.91,41.77,
Louisiana,LA,1996,231.08,211.70,13.40,4.81,1.16,214.37,35.83,3.36,1.57,104.93,60.91,7.78,7.46,6.38,2.87,52.53,
Maine,ME,1996,22.46,20.55,0.67,0.84,0.39,20.33,1.12,4.10,1.69,5.41,8.01,0.00,1.13,0.43,0.58,17.98,
Maryland,MD,1996,82.70,74.38,3.62,3.31,1.39,75.06,27.72,7.87,4.30,7.90,27.14,0.11,2.38,2.00,3.26,16.18,
Massachusetts,MA,1996,87.95,81.82,2.51,2.25,1.38,82.35,20.80,14.72,9.10,6.09,31.63,0.00,1.53,0.30,3.77,14.23,
Michigan,MI,1996,219.73,199.30,10.20,8.10,2.13,200.35,72.46,26.51,12.73,30.12,57.56,0.97,5.32,6.64,7.42,22.52,
Minnesota,MN,1996,117.73,95.61,6.58,14.44,1.10,96.81,31.28,10.70,6.31,16.22,32.31,0.00,1.34,17.94,1.64,24.98,
Mississippi,MS,1996,66.38,55.78,4.87,5.05,0.68,56.90,16.95,2.19,1.57,10.82,24.69,0.67,1.50,6.40,1.57,24.15,
Missouri,MO,1996,152.28,127.04,11.41,12.17,1.66,126.08,58.19,9.33,5.34,10.48,42.71,0.03,5.37,17.22,3.60,28.04,
Montana,MT,1996,39.92,28.73,6.36,4.38,0.45,30.52,14.01,1.48,0.95,5.07,7.27,1.73,0.84,8.39,0.17,45.04,
Nebraska,NE,1996,67.37,41.06,10.75,15.16,0.39,40.71,16.96,3.08,2.33,5.00,13.27,0.07,1.58,24.35,0.74,40.25,
Nevada,NV,1996,42.47,39.33,1.57,1.18,0.39,38.79,19.65,1.46,1.61,2.73,13.33,0.02,1.62,1.42,0.64,25.49,
New Hampshire,NH,1996,17.17,15.88,0.51,0.53,0.26,16.19,4.11,2.93,1.35,1.49,6.31,0.00,0.27,0.16,0.54,14.62,
New Jersey,NJ,1996,136.57,128.06,3.75,3.07,1.69,129.77,15.79,18.10,11.31,22.83,61.74,0.00,1.77,0.51,4.51,16.76,
New Mexico,NM,1996,67.22,53.43,10.86,2.42,0.50,60.49,27.89,2.06,1.60,8.57,13.56,6.79,1.07,4.87,0.79,38.36,
New York,NY,1996,233.57,206.89,15.87,6.76,4.05,209.55,46.83,37.19,27.93,26.77,70.30,0.54,5.26,4.86,13.90,12.57,
North Carolina,NC,1996,162.57,141.46,10.96,8.13,2.02,144.87,64.28,7.62,4.67,20.01,48.29,0.00,2.14,10.54,5.02,21.67,
North Dakota,ND,1996,56.64,45.26,4.12,6.98,0.28,46.33,31.15,1.31,1.01,6.44,5.50,0.92,0.45,9.56,0.31,87.09,
