"Air Quality Statistics by County, 2010",,,,,,,,,,,,,
State/County ,,2010 Population,CO          8-hr   (ppm),Pb      RQmax (µg/m3),NO2          AM   (ppb),NO2  1-hr (ppb),O3           8-hr   (ppb),PM10           24-hr (µg/m3),PM2.5     Wtd AM  (µg/m3),PM2.5        24-hr  (µg/m3),SO2       AM   (ppb),SO2             24-hr  (ppb),SO2     1-hr (ppb)
Indiana,Carroll County,20155,ND,ND,ND,ND,0.072,ND,ND,ND,ND,ND,ND
Indiana,Clark County,110232,ND,ND,ND,ND,0.077,40,14.7,29,ND,ND,ND
Indiana,Daviess County,31648,ND,ND,ND,ND,ND,ND,ND,ND,4.598,25.8,115
Indiana,Delaware County,117671,ND,0.26,ND,ND,0.067,ND,12.8,32,ND,ND,ND
Indiana,Dubois County,41889,ND,ND,ND,ND,ND,36,13.6,27,ND,ND,ND
Indiana,Elkhart County,197559,ND,ND,ND,ND,0.065,ND,11.9,32,ND,ND,ND
Indiana,Floyd County,74578,ND,ND,ND,ND,0.072,ND,13.1,28,3.636,20.6,122.5
Indiana,Fountain County,17240,ND,ND,ND,ND,ND,ND,ND,ND,2.273,8.5,26
Indiana,Gibson County,33503,ND,ND,ND,ND,ND,ND,12.2,26,3.817,20.7,74
Indiana,Greene County,33165,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
Indiana,Hamilton County,274569,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
Indiana,Hancock County,70002,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
Indiana,Hendricks County,145448,ND,ND,ND,ND,0.067,ND,ND,ND,ND,ND,ND
Indiana,Henry County,49462,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Indiana,Howard County,82752,ND,ND,ND,ND,ND,ND,12.5,30,ND,ND,ND
Indiana,Huntington County,37124,ND,ND,ND,ND,0.062,ND,ND,ND,ND,ND,ND
Indiana,Jackson County,42376,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Indiana,Jasper County,33478,ND,ND,ND,ND,ND,ND,ND,ND,1.947,10,39
Indiana,Johnson County,139654,ND,ND,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Indiana,Knox County,38440,ND,ND,ND,ND,ND,ND,12.3,28,ND,ND,ND
Indiana,Lake County,496005,2,0.13,14.671,52.8,0.069,69,13.3,34,2.463,23.5,57.2
Indiana,LaPorte County,111467,ND,ND,ND,ND,0.07,ND,10.7,29,2.354,10.6,30
Indiana,Madison County,131636,ND,ND,ND,ND,0.065,ND,IN,IN,ND,ND,ND
Indiana,Marion County,903393,3,0.08,12.683,53.5,0.072,83,14,37,3.347,23.3,103.4
Indiana,Monroe County,137974,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Indiana,Morgan County,68894,ND,ND,ND,ND,0.063,ND,ND,ND,2.977,28.8,105
Indiana,Perry County,19338,ND,ND,ND,ND,0.072,ND,ND,ND,ND,ND,ND
Indiana,Pike County,12845,ND,ND,ND,ND,ND,ND,ND,ND,7.501,36.5,IN
Indiana,Porter County,164343,ND,0.02,ND,ND,0.067,66,11.6,29,3.728,16.7,IN
Indiana,Posey County,25910,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Indiana,St. Joseph County,266931,ND,ND,11.124,IN,0.061,ND,11.3,31,ND,ND,ND
Indiana,Shelby County,44436,ND,ND,ND,ND,0.067,ND,ND,ND,ND,ND,ND
Indiana,Spencer County,20952,ND,ND,ND,ND,ND,ND,13,27,ND,ND,ND
Indiana,Tippecanoe County,172780,ND,ND,ND,ND,ND,ND,12.1,27,ND,ND,ND
Indiana,Vanderburgh County,179703,4,0.01,11.142,41.2,0.071,37,13.5,30,1.613,7.2,18.8
Indiana,Vigo County,107848,ND,ND,ND,ND,0.063,44,13,30,4.493,42.7,169
Indiana,Warrick County,59689,ND,ND,ND,ND,0.071,ND,ND,ND,1.907,8.1,18
Indiana,Wayne County,68917,ND,ND,ND,ND,ND,ND,ND,ND,2.817,21.8,108.6
Indiana,Whitley County,33292,ND,ND,ND,ND,ND,IN,IN,IN,ND,ND,ND
Iowa,Black Hawk County,131090,ND,ND,ND,ND,ND,74,10.9,37,ND,ND,ND
Iowa,Bremer County,24276,ND,ND,ND,ND,0.063,ND,IN,IN,ND,ND,ND
Iowa,Cerro Gordo County,44151,ND,ND,ND,ND,ND,81,IN,IN,ND,ND,ND
Iowa,Clinton County,49116,ND,ND,ND,ND,0.064,ND,12.7,35,1.243,9.4,IN
Iowa,Delaware County,17764,ND,ND,ND,ND,ND,51,IN,IN,ND,ND,ND
Iowa,Emmet County,10302,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Iowa,Harrison County,14928,ND,ND,ND,ND,0.067,ND,ND,ND,ND,ND,ND
Iowa,Johnson County,130882,ND,ND,ND,ND,ND,53,11.5,33,ND,ND,ND
Iowa,Lee County,35862,ND,ND,ND,ND,ND,ND,11.9,30,ND,ND,ND
Iowa,Linn County,211226,1,ND,ND,ND,0.064,68,11.1,36,0.984,8.6,28.9
Iowa,Montgomery County,10740,ND,ND,ND,ND,0.067,44,9.9,27,ND,ND,ND
Iowa,Muscatine County,42745,ND,ND,ND,ND,ND,81,13.9,41,IN,IN,IN
Iowa,Palo Alto County,9421,ND,ND,ND,ND,0.067,94,8.7,21,ND,ND,ND
Iowa,Polk County,430640,1,ND,8.901,47,0.057,53,10.3,33,0.299,1.2,2.5
Iowa,Pottawattamie County,93158,ND,0.26,ND,ND,ND,72,12.2,32,ND,ND,ND
Iowa,Scott County,165224,1,ND,8.437,37.5,0.065,129,12.9,35,0.518,3.6,IN
Iowa,Story County,89542,ND,ND,ND,ND,0.061,ND,IN,IN,ND,ND,ND
Iowa,Tama County,17767,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Iowa,Van Buren County,7570,ND,ND,ND,ND,0.068,47,9.8,30,0.189,1.6,5.1
Iowa,Warren County,46225,ND,ND,ND,ND,0.064,ND,ND,ND,ND,ND,ND
Iowa,Woodbury County,102172,ND,ND,ND,ND,ND,48,10.7,34,ND,ND,ND
Iowa,Wright County,13229,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Kansas,Ford County,33848,ND,ND,ND,ND,ND,48,ND,ND,ND,ND,ND
Kansas,Johnson County,544179,ND,ND,ND,ND,0.071,ND,IN,IN,ND,ND,ND
Kansas,Leavenworth County,76227,ND,ND,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Kansas,Linn County,9656,ND,ND,1.822,12.1,0.066,ND,9.1,22,1.26,3.3,IN
Kansas,Montgomery County,35471,ND,ND,ND,ND,ND,ND,ND,ND,4.249,21.9,28
Kansas,Neosho County,16512,ND,ND,ND,ND,ND,49,ND,ND,ND,ND,ND
Kansas,Saline County,55606,ND,0.42,ND,ND,ND,ND,ND,ND,ND,ND,ND
Kansas,Sedgwick County,498365,3,ND,8.273,39,0.075,57,8.8,20,ND,ND,ND
Kansas,Shawnee County,177934,ND,ND,ND,ND,0.069,70,9,21,ND,ND,ND
Kansas,Sherman County,6010,ND,ND,ND,ND,ND,50,ND,ND,ND,ND,ND
Kansas,Sumner County,24132,ND,ND,3.656,26,0.075,ND,8.4,19,0.733,1.8,12
Kansas,Trego County,3001,ND,ND,ND,ND,0.071,ND,ND,ND,1.09,2,IN
Kansas,Wyandotte County,157505,2,ND,13.131,54,0.058,65,10.5,23,5.036,13.1,49
Kentucky,Bell County,28691,ND,ND,ND,ND,0.073,ND,12.9,28,ND,ND,ND
Kentucky,Boone County,118811,ND,ND,ND,ND,0.067,ND,ND,ND,ND,ND,ND
Kentucky,Boyd County,49542,ND,IN,8.465,37,0.072,90,11.2,26,2.328,10.2,34
Kentucky,Bullitt County,74319,ND,ND,ND,ND,0.074,ND,13.4,24,ND,ND,ND
Kentucky,Campbell County,90336,ND,ND,4.524,39,0.073,ND,11.8,26,4.026,16.6,99
Kentucky,Carter County,27720,ND,ND,ND,ND,0.071,27,9.9,20,ND,ND,ND
Kentucky,Christian County,73955,ND,ND,ND,ND,0.074,ND,11.2,22,ND,ND,ND
Kentucky,Daviess County,96656,ND,ND,7.06,38,0.072,ND,12.9,28,2.841,11.1,68
Kentucky,Edmonson County,12161,0,ND,ND,ND,0.075,ND,IN,IN,1.274,5.7,15.4
Kentucky,Fayette County,295803,ND,ND,9.463,56,0.071,35,12.2,23,2.214,7.8,40
Kentucky,Franklin County,49285,ND,ND,ND,ND,ND,ND,11.4,23,ND,ND,ND
Kentucky,Greenup County,36910,ND,ND,ND,ND,0.071,ND,ND,ND,2.498,10.9,41
Kentucky,Hancock County,8565,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Kentucky,Hardin County,105543,ND,ND,ND,ND,0.071,ND,11.9,21,ND,ND,ND
Kentucky,Henderson County,46250,ND,ND,ND,ND,0.074,37,12.5,24,2.055,6.8,22
Kentucky,Jefferson County,741096,2,ND,11.953,IN,0.085,74,14.8,29,4.057,15.2,107
Kentucky,Jessamine County,48586,ND,ND,ND,ND,0.069,ND,ND,ND,2.049,11.3,48
Kentucky,Kenton County,159720,ND,ND,ND,ND,0.064,ND,IN,IN,ND,ND,ND
Kentucky,Laurel County,58849,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Kentucky,Livingston County,9519,ND,ND,ND,ND,0.067,ND,ND,ND,0.916,4.8,15
Kentucky,McCracken County,65565,ND,ND,6.875,47,0.073,32,11.4,25,1.478,7.3,25
Kentucky,Madison County,82916,ND,0.05,ND,ND,ND,ND,10.7,21,ND,ND,ND
Kentucky,Marshall County,31448,ND,ND,ND,ND,ND,30,ND,ND,ND,ND,ND
Kentucky,Ohio County,23842,ND,ND,ND,ND,ND,IN,IN,IN,ND,ND,ND
Kentucky,Oldham County,60316,ND,ND,ND,ND,0.078,ND,ND,ND,ND,ND,ND
Kentucky,Perry County,28712,ND,ND,ND,ND,0.071,ND,IN,IN,ND,ND,ND
Kentucky,Pike County,65024,ND,ND,ND,ND,0.07,ND,10.4,24,ND,ND,ND
Kentucky,Pulaski County,63063,ND,ND,ND,ND,0.066,ND,IN,IN,ND,ND,ND
Kentucky,Russell County,17565,ND,IN,ND,ND,ND,ND,ND,ND,ND,ND,ND
Kentucky,Simpson County,17327,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Kentucky,Trigg County,14339,ND,ND,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Kentucky,Warren County,113792,ND,ND,ND,ND,0.068,ND,11.5,21,ND,ND,ND
Louisiana,Ascension Parish,107215,ND,ND,8.27,42,0.078,ND,ND,ND,ND,ND,ND
Louisiana,Bossier Parish,116979,ND,ND,ND,ND,0.079,54,ND,ND,IN,IN,IN
Louisiana,Caddo Parish,254969,ND,ND,ND,ND,0.077,IN,11,19,ND,ND,ND
Louisiana,Calcasieu Parish,192768,ND,ND,6.7,37,0.078,ND,9.6,22,3.361,14.3,34
Louisiana,Concordia Parish,20822,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Louisiana,East Baton Rouge Parish,440171,2,ND,12.687,56,0.08,78,10.7,20,1.339,11.4,41.5
Louisiana,Iberville Parish,33387,ND,ND,7.095,36,0.074,ND,10.6,22,ND,ND,ND
Louisiana,Jefferson Parish,432552,ND,ND,7.759,47,0.081,ND,9.6,19,ND,ND,ND
Louisiana,Lafayette Parish,221578,ND,ND,ND,ND,0.074,72,9.7,23,ND,ND,ND
Louisiana,Lafourche Parish,96318,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
Louisiana,Livingston Parish,128026,ND,ND,2.906,20,0.076,ND,ND,ND,ND,ND,ND
Louisiana,Orleans Parish,343829,ND,ND,ND,ND,0.072,73,IN,IN,ND,ND,ND
Louisiana,Ouachita Parish,153720,ND,ND,ND,ND,0.07,ND,9.5,19,IN,IN,IN
Louisiana,Plaquemines Parish,23042,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Louisiana,Pointe Coupee Parish,22802,ND,ND,ND,ND,0.075,ND,ND,ND,ND,ND,ND
Louisiana,Rapides Parish,131613,ND,ND,ND,ND,ND,ND,9.2,20,ND,ND,ND
Louisiana,St. Bernard Parish,35897,ND,ND,ND,ND,0.074,72,10.1,18,7.743,75.6,248
Louisiana,St. Charles Parish,52780,ND,ND,ND,ND,0.075,ND,IN,IN,ND,ND,ND
Louisiana,St. James Parish,22102,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Louisiana,St. John the Baptist Parish,45924,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Louisiana,St. Tammany Parish,233740,ND,ND,ND,ND,0.076,ND,IN,IN,ND,ND,ND
Louisiana,Tangipahoa Parish,121097,ND,ND,ND,ND,ND,ND,9,17,ND,ND,ND
Louisiana,Terrebonne Parish,111860,ND,ND,ND,ND,ND,ND,8.8,17,ND,ND,ND
Louisiana,West Baton Rouge Parish,23788,ND,ND,11.305,49,0.071,ND,11.2,21,5.071,19.8,92
Maine,Androscoggin County,107702,ND,ND,ND,ND,0.058,43,IN,IN,ND,ND,ND
Maine,Aroostook County,71870,0,ND,2.034,IN,0.051,79,7.3,23,0.221,2.2,6.9
Maine,Cumberland County,281674,1,ND,9.765,44,0.072,52,8,23,1.564,9.5,21
Maine,Hancock County,54418,0,ND,ND,ND,0.076,25,4.4,16,0.154,1.1,3.1
Maine,Kennebec County,122151,ND,ND,ND,ND,0.059,43,6.4,19,ND,ND,ND
Maine,Knox County,39736,ND,ND,ND,ND,0.07,ND,IN,IN,ND,ND,ND
Maine,Oxford County,57833,ND,ND,ND,ND,0.054,ND,8,30,ND,ND,ND
Maine,Penobscot County,153923,ND,ND,ND,ND,0.059,43,7,23,ND,ND,ND
Maine,Piscataquis County,17535,ND,ND,ND,ND,ND,ND,5.1,15,ND,ND,ND
Maine,Sagadahoc County,35293,ND,ND,ND,ND,0.061,ND,ND,ND,ND,ND,ND
Maine,Washington County,32856,ND,ND,ND,ND,0.061,ND,ND,ND,ND,ND,ND
Maine,York County,197131,ND,ND,ND,ND,0.072,ND,IN,IN,ND,ND,ND
Maryland,Anne Arundel County,537656,ND,ND,ND,ND,0.087,45,11,28,ND,ND,ND
Maryland,Baltimore County,805029,2,ND,13.155,54,0.084,ND,11.6,29,2.152,7.3,20
Maryland,Calvert County,88737,ND,ND,ND,ND,0.087,ND,ND,ND,ND,ND,ND
Maryland,Carroll County,167134,ND,ND,ND,ND,0.083,ND,ND,ND,ND,ND,ND
Maryland,Cecil County,101108,ND,ND,ND,ND,0.082,ND,IN,IN,ND,ND,ND
Maryland,Charles County,146551,ND,ND,ND,ND,0.082,ND,ND,ND,ND,ND,ND
Maryland,Frederick County,233385,ND,ND,ND,ND,0.083,ND,ND,ND,ND,ND,ND
Maryland,Garrett County,30097,0,ND,ND,ND,0.078,ND,IN,IN,2.158,9.7,23.6
Maryland,Harford County,244826,ND,ND,ND,ND,0.096,ND,9.5,22,ND,ND,ND
Maryland,Kent County,20197,ND,ND,ND,ND,0.074,ND,IN,IN,ND,ND,ND
Maryland,Montgomery County,971777,ND,ND,ND,ND,0.077,ND,11.1,28,ND,ND,ND
Maryland,Prince George's County,863420,1,ND,ND,ND,0.085,IN,12.1,27,0.987,6.8,10.2
Maryland,Washington County,147430,ND,ND,ND,ND,0.078,ND,IN,IN,ND,ND,ND
Maryland,Worcester County,51454,ND,ND,ND,ND,0.075,ND,ND,ND,ND,ND,ND
Maryland,Baltimore city,620961,1,ND,17.549,61,0.074,46,12.7,30,ND,ND,ND
Massachusetts,Barnstable County,215888,ND,ND,ND,ND,0.078,ND,ND,ND,ND,ND,ND
Massachusetts,Berkshire County,131219,ND,ND,ND,ND,0.073,ND,8.9,25,ND,ND,ND
Massachusetts,Bristol County,548285,ND,ND,ND,ND,0.077,ND,7.7,24,3.081,33.1,84.3
Massachusetts,Dukes County,16535,ND,ND,ND,ND,0.08,ND,ND,ND,ND,ND,ND
Massachusetts,Essex County,743159,1,ND,7.303,42.4,0.072,ND,7.9,20,ND,ND,ND
Massachusetts,Hampden County,463490,2,ND,14.545,48,0.074,33,9.2,26,2.05,7.4,13
Massachusetts,Hampshire County,158080,ND,ND,2.673,26,0.076,28,IN,IN,0.844,5.7,5.8
Massachusetts,Middlesex County,1503085,1,ND,ND,ND,0.069,28,7,20,ND,ND,ND
Massachusetts,Norfolk County,670850,ND,ND,IN,IN,0.073,ND,IN,IN,ND,ND,ND
Massachusetts,Plymouth County,494919,ND,ND,ND,ND,ND,ND,7.8,23,ND,ND,ND
Massachusetts,Suffolk County,722023,2,0.01,19.098,53,0.07,41,10,25,2.933,9.4,25
Massachusetts,Worcester County,798552,1,ND,13.987,48.4,0.071,42,8.7,21,2.055,6.8,12
Michigan,Allegan County,111408,ND,ND,ND,ND,0.073,ND,8.5,25,ND,ND,ND
Michigan,Alpena County,29598,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Michigan,Bay County,107771,ND,ND,ND,ND,ND,ND,8.2,31,ND,ND,ND
Michigan,Benzie County,17525,ND,ND,ND,ND,0.072,ND,ND,ND,ND,ND,ND
Michigan,Berrien County,156813,ND,ND,ND,ND,0.072,ND,8.7,23,ND,ND,ND
Michigan,Cass County,52293,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Michigan,Chippewa County,38520,ND,ND,ND,ND,0.053,ND,IN,43,ND,ND,ND
Michigan,Clinton County,75382,ND,ND,ND,ND,0.065,ND,ND,ND,ND,ND,ND
Michigan,Dickinson County,26168,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Michigan,Emmet County,32694,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Michigan,Genesee County,425790,ND,ND,ND,ND,0.07,ND,8.9,25,ND,ND,ND
Michigan,Grand Traverse County,86986,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Michigan,Huron County,33118,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Michigan,Ingham County,280895,ND,ND,IN,IN,0.065,ND,9,24,ND,ND,ND
Michigan,Ionia County,63905,ND,0.28,ND,ND,ND,ND,ND,ND,ND,ND,ND
Michigan,Iron County,11817,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Michigan,Kalamazoo County,250331,ND,ND,ND,ND,0.067,ND,9.3,22,ND,ND,ND
Michigan,Kent County,602622,1,0.01,ND,ND,0.069,37,9.6,24,0.956,4.5,17.8
Michigan,Lenawee County,99892,ND,ND,ND,ND,0.066,ND,8.9,22,ND,ND,ND
Michigan,Macomb County,840978,ND,ND,ND,ND,0.076,ND,8.9,26,ND,ND,ND
Michigan,Manistee County,24733,ND,ND,ND,ND,0.068,ND,6.6,22,ND,ND,ND
Michigan,Mason County,28705,ND,ND,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Michigan,Missaukee County,14849,ND,ND,IN,IN,0.065,ND,5.9,18,ND,ND,ND
Michigan,Monroe County,152021,ND,ND,ND,ND,ND,ND,9.4,26,ND,ND,ND
Michigan,Muskegon County,172188,ND,ND,ND,ND,0.076,ND,8.3,23,ND,ND,ND
Michigan,Oakland County,1202362,ND,ND,ND,ND,0.073,ND,9.1,27,ND,ND,ND
Michigan,Ottawa County,263801,ND,ND,ND,ND,0.072,ND,9.1,23,ND,ND,ND
Michigan,Saginaw County,200169,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Michigan,St. Clair County,163040,ND,ND,ND,ND,0.076,ND,8.9,26,ND,ND,ND
Michigan,Schoolcraft County,8485,ND,ND,ND,ND,0.075,ND,ND,ND,ND,ND,ND
Michigan,Washtenaw County,344791,ND,ND,ND,ND,0.066,ND,9.2,23,ND,ND,ND
Michigan,Wayne County,1820584,1,0.01,11.96,54,0.078,73,11.3,30,3.385,48.8,107
Minnesota,Anoka County,330844,ND,0.03,9.368,51,0.067,ND,8.3,25,ND,ND,ND
Minnesota,Becker County,32504,ND,ND,ND,ND,0.062,ND,ND,ND,ND,ND,ND
Minnesota,Carlton County,35386,ND,0,1.802,14,0.057,ND,ND,ND,ND,ND,ND
Minnesota,Cass County,28567,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Minnesota,Crow Wing County,62500,ND,ND,ND,ND,0.06,ND,IN,IN,ND,ND,ND
Minnesota,Dakota County,398552,2,0.27,9.673,44,ND,ND,IN,IN,0.787,5.3,19
Minnesota,Douglas County,36009,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Minnesota,Freeborn County,31255,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Minnesota,Goodhue County,46183,ND,ND,ND,ND,0.06,ND,ND,ND,ND,ND,ND
Minnesota,Hennepin County,1152425,2,0.02,ND,ND,ND,52,9.1,28,0.538,10.2,29
Minnesota,Itasca County,45058,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Minnesota,Kandiyohi County,42239,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Minnesota,Lake County,10866,ND,IN,ND,ND,0.061,ND,IN,IN,ND,ND,ND
Minnesota,Lyon County,25857,ND,ND,ND,ND,0.065,ND,ND,ND,ND,ND,ND
Minnesota,McLeod County,36651,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Minnesota,Mille Lacs County,26097,ND,ND,ND,ND,0.059,ND,IN,IN,ND,ND,ND
Minnesota,Nicollet County,32727,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Minnesota,Olmsted County,144248,ND,ND,ND,ND,0.061,ND,9.3,29,ND,ND,ND
Minnesota,Otter Tail County,57303,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Minnesota,Ramsey County,508640,2,0,ND,ND,ND,74,10,36,ND,ND,ND
Minnesota,St. Louis County,200226,2,0,ND,ND,0.067,47,6.4,17,0.151,2.1,9
Minnesota,Scott County,129928,ND,ND,ND,ND,0.06,ND,9,29,ND,ND,ND
Minnesota,Stearns County,150642,ND,0.01,ND,ND,0.058,ND,8.2,28,ND,ND,ND
Minnesota,Washington County,238136,ND,0,ND,ND,0.062,ND,IN,IN,0.286,3.5,17
Minnesota,Wright County,124700,ND,ND,ND,ND,0.063,ND,IN,IN,ND,ND,ND
Mississippi,Adams County,32297,ND,ND,ND,ND,0.067,ND,10.4,20,ND,ND,ND
Mississippi,Bolivar County,34145,ND,ND,ND,ND,0.073,ND,10.6,22,ND,ND,ND
Mississippi,DeSoto County,161252,ND,ND,ND,ND,0.076,ND,10.2,19,ND,ND,ND
Mississippi,Forrest County,74934,ND,ND,ND,ND,ND,ND,12,23,ND,ND,ND
Mississippi,Grenada County,21906,ND,ND,ND,ND,ND,ND,9.8,19,ND,ND,ND
Mississippi,Hancock County,43929,ND,ND,ND,ND,0.068,ND,10.2,20,ND,ND,ND
Mississippi,Harrison County,187105,ND,ND,ND,ND,0.073,ND,9.6,16,ND,ND,ND
Mississippi,Hinds County,245285,IN,ND,ND,ND,0.067,IN,11.4,22,IN,IN,IN
Mississippi,Jackson County,139668,ND,ND,5.511,35,0.073,ND,9.5,19,1.14,6.8,38
Mississippi,Jones County,67761,ND,ND,ND,ND,ND,ND,12.3,25,ND,ND,ND
Mississippi,Lauderdale County,80261,ND,ND,ND,ND,0.062,ND,11.2,22,ND,ND,ND
Mississippi,Lee County,82910,ND,ND,ND,ND,0.068,ND,12,22,ND,ND,ND
Mississippi,Lowndes County,59779,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Mississippi,Pearl River County,55834,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Mississippi,Rankin County,141617,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Mississippi,Scott County,28264,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Mississippi,Warren County,48773,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Missouri,Andrew County,17291,ND,ND,ND,ND,0.072,ND,ND,ND,ND,ND,ND
Missouri,Boone County,162642,ND,ND,ND,ND,0.069,ND,IN,IN,ND,ND,ND
Missouri,Buchanan County,89201,ND,ND,ND,ND,ND,92,11.9,26,ND,ND,ND
Missouri,Callaway County,44332,ND,ND,ND,ND,0.068,ND,ND,ND,ND,ND,ND
Missouri,Cass County,99478,ND,ND,ND,ND,0.067,ND,10.3,23,ND,ND,ND
Missouri,Cedar County,13982,ND,ND,ND,ND,0.068,ND,10.9,24,ND,ND,ND
Missouri,Clay County,221939,ND,ND,IN,IN,0.076,ND,9.6,23,ND,ND,ND
Missouri,Clinton County,20743,ND,ND,ND,ND,0.076,ND,ND,ND,ND,ND,ND
Missouri,Greene County,275174,1,ND,IN,IN,0.069,32,9.9,22,3.218,39.2,98
Missouri,Howell County,40400,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Missouri,Iron County,10630,ND,0.72,ND,ND,ND,ND,ND,ND,ND,ND,ND
Missouri,Jackson County,674158,ND,ND,14.93,52,ND,52,11,31,5.499,46.5,IN
Missouri,Jasper County,117404,ND,0.02,ND,ND,0.072,107,IN,IN,ND,ND,ND
Missouri,Jefferson County,218733,ND,1.37,ND,ND,0.077,ND,10.5,24,10.351,58.1,199
Missouri,Lincoln County,52566,ND,ND,ND,ND,0.079,ND,ND,ND,ND,ND,ND
Missouri,Maries County,9176,ND,ND,ND,ND,ND,ND,ND,IN,ND,ND,ND
Missouri,Mercer County,3785,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Missouri,Monroe County,8840,ND,ND,ND,ND,0.07,IN,IN,IN,IN,IN,IN
Missouri,Perry County,18971,ND,ND,ND,ND,0.077,ND,ND,ND,ND,ND,ND
Missouri,Reynolds County,6696,ND,0.1,ND,ND,ND,ND,ND,ND,ND,ND,ND
Missouri,St. Charles County,360485,ND,ND,IN,IN,0.084,ND,IN,IN,ND,ND,ND
Missouri,Ste. Genevieve County,18145,ND,ND,IN,IN,0.072,ND,IN,IN,ND,ND,ND
Missouri,St. Francois County,65359,ND,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND
Missouri,St. Louis County,998954,1,0.01,IN,IN,0.076,48,11.2,27,IN,IN,IN
Missouri,Taney County,51675,ND,ND,ND,ND,0.067,ND,ND,ND,ND,ND,ND
Missouri,St. Louis city,319294,2,ND,12.831,IN,0.071,131,13.8,27,3.263,12.3,49
Montana,Cascade County,81327,2,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Montana,Flathead County,90928,IN,ND,ND,ND,0.055,94,9,29,ND,ND,ND
Montana,Gallatin County,89513,2,ND,1.879,IN,ND,ND,9.2,35,ND,ND,ND
Montana,Glacier County,13399,ND,ND,ND,ND,0.058,ND,ND,ND,ND,ND,ND
Montana,Lake County,28746,ND,ND,ND,ND,ND,76,IN,IN,ND,ND,ND
Montana,Lewis and Clark County,63395,ND,ND,ND,ND,ND,ND,10.6,54,ND,ND,ND
Montana,Lincoln County,19687,ND,ND,ND,ND,ND,89,11.4,32,ND,ND,ND
Montana,Missoula County,109299,2,ND,ND,ND,0.054,55,9.6,27,ND,ND,ND
Montana,Powder River County,1743,ND,ND,IN,IN,0.056,78,5.2,14,ND,ND,ND
Montana,Ravalli County,40212,ND,ND,ND,ND,ND,ND,8.9,35,ND,ND,ND
Montana,Richland County,9746,ND,ND,IN,IN,0.057,85,IN,IN,IN,IN,IN
Montana,Rosebud County,9233,ND,ND,IN,IN,0.059,86,IN,IN,IN,IN,IN
Montana,Sanders County,11413,ND,ND,ND,ND,ND,20,5.7,13,ND,ND,ND
Montana,Silver Bow County,34200,ND,ND,ND,ND,ND,82,IN,43,ND,ND,ND
Montana,Yellowstone County,147972,2,ND,ND,ND,ND,ND,IN,IN,3.876,23.4,91
