region,subregion,population,co.8hr.ppm,pb.rqmax.microg.by.m3,no2.am.ppb,no2.1hr.ppb,o3.8hr.ppb,pm10.24hr.microg.by.m3,pm2.5.wtd.am.microg.by.m3,pm2.5.24hr.microg.by.m3,so2.am.ppb,so2.24hr.ppb,so2.1hr.ppb
california,el dorado,181058,NA,NA,NA,NA,0.081,NA,IN,IN,NA,NA,NA
california,fresno,930450,2,NA,12.633,54,0.103,67,14.7,49,0.749,2.9,7
california,glenn,28122,NA,NA,NA,NA,0.061,40,NA,NA,NA,NA,NA
california,humboldt,134623,1,NA,2.651,19.1,0.045,61,5.6,18,1.303,3,3
california,imperial,174528,6,0.02,13.828,56,0.078,89,12.8,32,0.485,3.2,7
california,inyo,18546,NA,NA,NA,NA,0.069,2519,7.5,29,NA,NA,NA
california,kern,839631,IN,NA,14.425,63,0.1,88,17.6,62,NA,NA,NA
california,kings,152982,NA,NA,IN,IN,0.103,120,19.5,49,NA,NA,NA
california,lake,64665,NA,NA,NA,NA,0.056,NA,3.1,6,NA,NA,NA
california,los angeles,9818605,4,0.39,26.179,72.5,0.09,71,12.6,32,1.394,4.8,16.2
california,madera,150865,NA,NA,7.796,34,0.09,NA,IN,51,NA,NA,NA
california,marin,252409,1,NA,11.697,42,0.053,31,IN,IN,NA,NA,NA
california,mariposa,18251,NA,NA,NA,NA,0.077,58,NA,NA,NA,NA,NA
california,mendocino,87841,NA,NA,NA,NA,0.047,57,7.7,18,NA,NA,NA
california,merced,255793,NA,NA,6.843,38,0.09,53,16.3,40,NA,NA,NA
california,modoc,9686,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
california,mono,14202,NA,NA,NA,NA,NA,3096,IN,IN,NA,NA,NA
california,monterey,415057,1,NA,6.072,31,0.064,51,4.5,10,NA,NA,NA
california,napa,136484,1,NA,8.508,34,0.067,34,NA,NA,NA,NA,NA
california,nevada,98764,NA,NA,3.524,20.3,0.079,NA,4.7,10,NA,NA,NA
california,orange,3010232,2,NA,17.467,56,0.071,53,10.2,25,0.578,2.1,5.5
california,placer,348432,NA,NA,9.967,54,0.085,33,6.6,20,NA,NA,NA
california,plumas,20007,NA,NA,NA,NA,NA,NA,9.7,36,NA,NA,NA
california,riverside,2189641,2,0.01,17.182,53.2,0.099,312,15.2,36,1.28,3.5,10.2
california,sacramento,1418788,2,NA,12.494,52,0.096,54,8.7,27,0.462,1.9,1
california,san benito,55269,NA,NA,NA,NA,0.071,30,5.7,13,NA,NA,NA
california,san bernardino,2035210,4,0.01,23.087,65,0.109,82,13,31,1.229,6.7,11
california,san diego,3095313,2,NA,20.975,74,0.081,101,13.3,114,1.765,7.1,18
california,san francisco,805235,1,NA,13.382,76.6,0.046,36,10.5,24,NA,NA,NA
california,san joaquin,685306,1,NA,13.824,49,0.075,49,IN,44,NA,NA,NA
california,san luis obispo,269637,NA,NA,5.569,36,0.083,133,8.2,22,0.29,1.3,4
california,san mateo,718451,2,NA,11.791,45,0.056,NA,8.3,33,NA,NA,NA
california,santa barbara,423895,1,NA,8.593,43,0.075,51,IN,IN,1.16,2.7,5
